countryCode,userRatingCount,primaryGenreName,hasPrivacyLink,hasTermsOfServiceLink,isCorporateEmailScore,appAge,averageUserRating,coppaRisk,minDownloads,maxDownloads,deviceType_GLOBAL,deviceType_connected-tv/ott,deviceType_smartphone,deviceType_tablet,deviceType_undetermined,hasTermsOfServiceLinkRating_high,hasTermsOfServiceLinkRating_low,appDescriptionBrandSafetyRating_high,appDescriptionBrandSafetyRating_low,appDescriptionBrandSafetyRating_medium,mfaRating_all_False_coppaRisk,mfaRating_low,mfaRating_medium,meanDownloads,ratingWeighted,isHighCorporateAndPrivacy
65,127731.0,15,1,1,99.0,160.4,4.0,False,9000000.0,42000000.0,0,0,1,0,0,0,1,0,1,0,0,1,0,7.406540197465111,20.425198849271446,1
29,0.0,20,1,0,99.0,17.5,0.0,False,50.0,100.0,1,0,0,0,0,0,0,0,1,0,0,1,0,1.8808135922807914,0.0,1
18,51143.0,6,1,1,0.0,30.766666666666666,4.0,False,50000000.0,100000000.0,1,0,0,0,0,0,1,0,1,0,0,1,0,7.875061269182293,18.835178765703233,0
29,1074.0,6,1,0,99.0,71.53333333333333,4.0,False,260000.0,1240000.0,1,0,0,0,0,0,0,0,1,0,0,1,0,5.875061842450624,12.125633857006497,1
29,17.0,17,1,0,99.0,52.4,4.0,False,1000.0,5000.0,1,0,0,0,0,0,0,0,1,0,0,1,0,3.477265995424853,5.021090020413224,1
29,0.0,17,1,0,0.0,37.7,0.0,False,50.0,100.0,1,0,0,0,0,0,0,0,1,0,0,1,0,1.8808135922807914,0.0,0
29,237.0,6,1,0,19.8,88.26666666666665,0.0,True,44000.0,160000.0,1,0,0,0,0,0,0,0,1,0,0,1,0,5.0086044295300844,0.0,0
29,0.0,20,1,0,99.0,24.23333333333333,0.0,False,1.0,5.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0.6020599913279624,0.0,1
29,0.0,20,1,0,99.0,76.26666666666665,0.0,False,50.0,100.0,1,0,0,0,0,0,0,0,1,0,0,1,0,1.8808135922807914,0.0,1
29,0.0,4,1,0,0.0,71.43333333333334,0.0,False,100.0,500.0,1,0,0,0,0,0,0,0,1,0,0,1,0,2.478566495593843,0.0,0
29,0.0,7,1,0,79.2,102.33333333333331,0.0,False,306.0,1230.0,1,0,0,0,0,0,0,0,1,0,0,1,0,2.885926339801431,0.0,0
90,404.0,6,1,0,99.0,30.166666666666668,4.0,False,10000.0,50000.0,1,0,0,0,0,0,0,1,0,0,0,1,0,4.477135730961123,10.429820092858675,1
