countryCode,userRatingCount,primaryGenreName,hasPrivacyLink,hasTermsOfServiceLink,isCorporateEmailScore,appAge,averageUserRating,coppaRisk,minDownloads,maxDownloads,meanDownloads,deviceType_GLOBAL,deviceType_connected-tv/ott,deviceType_smartphone,deviceType_tablet,deviceType_undetermined,deviceType_nan,mfaRating_high,mfaRating_low,mfaRating_medium,mfaRating_nan,hasTermsOfServiceLinkRating_high,hasTermsOfServiceLinkRating_low,hasTermsOfServiceLinkRating_nan,appDescriptionBrandSafetyRating_high,appDescriptionBrandSafetyRating_low,appDescriptionBrandSafetyRating_medium,appDescriptionBrandSafetyRating_nan,ratingWeighted,isHighCorporateAndPrivacy
92,127731.0,38,1.0,1.0,99.0,160.4,4.0,False,9000000.0,42000000.0,7.3567092796164415,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,20.425198849271446,1
40,0.0,23,1.0,0.8,99.0,17.5,0.0,False,50.0,100.0,1.8808135922807914,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,0.0,1
25,51143.0,15,1.0,1.0,0.0,30.766666666666666,4.0,False,50000000.0,100000000.0,7.875061269182293,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,18.835178765703233,0
40,1074.0,15,1.0,0.2,99.0,71.53333333333333,4.0,False,270000.0,1320000.0,5.5567113121054446,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,12.125633857006497,1
40,17.0,40,1.0,0.6,99.0,52.4,4.0,False,1000.0,5000.0,3.477265995424853,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,5.021090020413224,1
40,0.0,40,1.0,0.0,0.0,37.7,1.0,False,50.0,100.0,1.8808135922807914,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,0.0,0
40,237.0,15,1.0,0.2,19.8,88.26666666666665,0.0,True,44000.0,160000.0,4.83630565443603,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,0.0,0
40,0.0,30,1.0,0.4,99.0,24.23333333333333,0.0,False,1.0,5.0,0.6020599913279624,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,0.0,1
40,0.0,5,0.8,0.4,99.0,76.26666666666665,0.0,False,50.0,100.0,1.8808135922807914,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,0.0,0
40,0.0,11,1.0,0.4,0.0,71.43333333333334,0.0,False,100.0,500.0,2.478566495593843,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,0.0,0
40,0.0,20,0.8,0.2,39.6,102.33333333333331,0.0,False,170.0,520.0,2.438430603213298,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,0.0,0
119,404.0,15,1.0,0.2,99.0,30.166666666666668,4.0,False,10000.0,50000.0,4.477135730961123,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,10.429820092858675,1
40,23.0,10,1.0,0.8,0.0,74.33333333333333,3.0,True,10000.0,50000.0,4.477135730961123,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,4.140633725134817,0
