countryCode,primaryGenreName,deviceType,hasPrivacyLink,hasTermsOfServiceLink,hasTermsOfServiceLinkRating,isCorporateEmailScore,appAge,averageUserRating,appDescriptionBrandSafetyRating,mfaRating,coppaRisk,minDownloads_log,maxDownloads_log,userRatingCount_log
65,15,2,1,1,1,99.0,160.4,4.0,1,1,False,16.012735246411598,17.553180200057167,11.75768959794289
29,20,0,1,0,2,99.0,17.5,0.0,1,1,False,3.9318256327243257,4.61512051684126,0.0
18,6,0,1,1,1,0.0,30.766666666666666,4.0,1,1,False,17.72753358339242,18.420680753952364,10.842400462446562
29,6,0,1,0,2,99.0,71.53333333333333,4.0,1,1,False,12.468440756144114,14.030622744032508,6.980075940561763
29,17,0,1,0,2,99.0,52.4,4.0,1,1,False,6.90875477931522,8.517393171418904,2.8903717578961645
29,17,0,1,0,2,0.0,37.7,0.0,1,1,False,3.9318256327243257,4.61512051684126,0.0
29,6,0,1,0,2,19.8,88.26666666666665,0.0,1,1,True,10.691967639914864,11.982935344196433,5.472270673671475
29,20,0,1,0,2,99.0,24.23333333333333,0.0,1,1,False,0.6931471805599453,1.791759469228055,0.0
29,20,0,1,0,2,99.0,76.26666666666665,0.0,1,1,False,3.9318256327243257,4.61512051684126,0.0
29,4,0,1,0,2,0.0,71.43333333333334,0.0,1,1,False,4.61512051684126,6.2166061010848646,0.0
29,7,0,1,0,2,79.2,102.33333333333331,0.0,1,1,False,5.726847747587197,7.115582126184454,0.0
90,6,0,1,0,2,99.0,30.166666666666668,4.0,0,1,False,9.210440366976517,10.819798284210286,6.003887067106539
29,3,0,1,0,2,0.0,74.33333333333333,3.0,1,1,True,9.210440366976517,10.819798284210286,3.1780538303479458
29,6,0,1,0,2,59.4,128.76666666666668,4.0,1,1,False,8.537191877922927,9.692828247710418,3.8918202981106265
29,6,3,1,0,0,0.0,8.966666666666665,3.0,1,1,False,10.819798284210286,11.51293546492023,3.4657359027997265
29,6,0,1,0,2,0.0,75.2,5.0,1,1,False,2.3978952727983707,3.9318256327243257,2.0794415416798357
29,17,0,1,0,2,0.0,69.66666666666667,3.0,1,1,False,9.210440366976517,10.819798284210286,5.10594547390058
29,7,0,1,0,2,59.4,57.2,0.0,0,1,False,3.8501476017100584,5.442417710521793,0.0
29,4,0,1,0,0,0.0,60.36666666666667,4.0,0,1,False,9.210440366976517,10.819798284210286,4.727387818712341
29,20,0,1,0,2,0.0,80.1,0.0,1,1,False,4.61512051684126,6.2166061010848646,0.0
29,20,0,1,1,2,99.0,91.2333333333333,5.0,1,1,False,2.3978952727983707,3.9318256327243257,0.0
29,20,0,1,0,2,99.0,135.6,1.0,1,1,False,3.765840495250065,5.0238805208462765,1.0986122886681096
29,6,0,1,0,2,0.0,25.8,0.0,1,1,True,1.791759469228055,2.3978952727983707,0.0
88,7,0,1,0,2,0.0,3.633333333333333,3.0,1,1,False,9.210440366976517,10.819798284210286,3.091042453358316
29,4,0,1,0,2,99.0,60.03333333333333,3.0,1,1,True,9.210440366976517,10.819798284210286,4.718498871295094
67,6,3,1,1,1,99.0,60.633333333333326,3.0,1,1,False,11.51293546492023,13.122365377402328,6.4967749901858625
29,3,0,1,0,2,0.0,41.96666666666666,4.0,1,1,False,9.798182590890704,11.002116507732017,4.997212273764115
29,14,0,1,0,2,0.0,54.5,1.8,1,1,False,3.9318256327243257,4.61512051684126,0.0
29,17,0,1,0,2,0.0,83.66666666666667,4.0,1,1,False,8.517393171418904,9.210440366976517,3.4339872044851463
29,6,0,1,0,2,0.0,12.533333333333331,4.0,1,1,False,4.61512051684126,6.2166061010848646,2.302585092994046
29,6,0,1,0,2,19.8,57.23333333333333,0.0,1,1,False,3.367295829986474,4.948759890378168,0.0
29,6,0,1,0,2,0.0,27.4,0.0,1,1,False,4.61512051684126,6.2166061010848646,0.0
29,3,0,1,0,2,19.8,120.76666666666668,0.0,1,1,False,5.808142489980444,7.193685818395112,0.0
29,20,0,1,0,2,0.0,89.63333333333334,5.0,2,1,False,1.791759469228055,2.3978952727983707,0.0
29,14,0,1,0,2,0.0,19.566666666666663,1.6,1,1,False,2.3978952727983707,3.9318256327243257,0.0
22,6,2,1,0,0,0.0,5.9,4.0,1,1,False,11.51293546492023,13.122365377402328,7.8838232148921525
29,3,0,1,1,1,59.4,95.06666666666666,4.0,1,1,False,8.594339400592892,10.085850775128717,4.04305126783455
29,20,0,1,0,2,0.0,18.366666666666667,1.0,1,1,False,9.210440366976517,10.819798284210286,2.4849066497880004
29,6,0,1,0,2,0.0,133.23333333333332,4.0,1,1,False,6.90875477931522,8.517393171418904,2.70805020110221
29,6,0,0,0,2,59.4,136.4,4.0,1,1,True,9.97119292889014,11.546369912189585,3.4657359027997265
29,20,0,1,0,2,0.0,53.23333333333333,0.0,1,1,False,3.9318256327243257,4.61512051684126,0.0
29,4,0,1,0,2,0.0,99.43333333333332,4.0,1,1,False,9.210440366976517,10.819798284210286,4.9344739331306915
